time_s,time_h,C_max,C_center,C_surface,R_m
0.00000000,0.000000000000,2.55,2.55,2.55,0.02
60.00000000,0.016666666667,2.55,2.55,2.11479373162,0.0199498732686
120.00000000,0.033333333333,2.55,2.55,1.98609851053,0.0199001680259
180.00000000,0.050000000000,2.55,2.55,1.90257646781,0.019850896699
240.00000000,0.066666666667,2.55,2.55,1.84064512658,0.0198020717152
300.00000000,0.083333333333,2.55,2.55,1.79198409511,0.0197537055016
360.00000000,0.100000000000,2.55,2.55,1.7521670962,0.0197058104854
420.00000000,0.116666666667,2.55,2.55,1.71854989236,0.0196583990939
480.00000000,0.133333333333,2.55,2.55,1.68946127152,0.019611483754
540.00000000,0.150000000000,2.55,2.55,1.66405101653,0.0195650768932
600.00000000,0.166666666667,2.55,2.55,1.64162562593,0.0195191909385
660.00000000,0.183333333333,2.55,2.55,1.6216774906,0.0194738383172
720.00000000,0.200000000000,2.55,2.55,1.60364304228,0.0194290314563
780.00000000,0.216666666667,2.55,2.55,1.58718243214,0.0193847827832
840.00000000,0.233333333333,2.55,2.55,1.57200773325,0.0193411047249
900.00000000,0.250000000000,2.55,2.55,1.55785168891,0.0192980097087
960.00000000,0.266666666667,2.55,2.55,1.54474613569,0.0192555101618
1020.00000000,0.283333333333,2.55,2.55,1.53242078653,0.0192136185113
1080.00000000,0.300000000000,2.55,2.55,1.5209901131,0.0191723471845
1140.00000000,0.316666666667,2.55,2.55,1.51024993464,0.0191317086084
1200.00000000,0.333333333333,2.55,2.55,1.50002833766,0.0190917152104
1260.00000000,0.350000000000,2.55,2.55,1.49014777273,0.0190523794175
1320.00000000,0.366666666667,2.55,2.55,1.48077898829,0.019013713657
1380.00000000,0.383333333333,2.55,2.55,1.47188629336,0.018975730356
1440.00000000,0.400000000000,2.55,2.55,1.46317467231,0.0189384419417
1500.00000000,0.416666666667,2.55,2.55,1.4545338867,0.0189018608414
1560.00000000,0.433333333333,2.55,2.55,1.44612832568,0.0188659994822
1620.00000000,0.450000000000,2.55,2.55,1.4378983722,0.0188308702913
1680.00000000,0.466666666667,2.55,2.55,1.42981886233,0.0187964856958
1740.00000000,0.483333333333,2.55,2.55,1.4221071419,0.018762858123
1800.00000000,0.500000000000,2.55,2.55,1.41462962857,0.01873
1860.00000000,0.516666666667,2.55,2.55,1.40723192092,0.0186979928836
1920.00000000,0.533333333333,2.55,2.55,1.39970444794,0.0186668745134
1980.00000000,0.550000000000,2.55,2.55,1.39212549127,0.0186365915911
2040.00000000,0.566666666667,2.55,2.55,1.38469463685,0.0186070908185
2100.00000000,0.583333333333,2.55,2.55,1.37731969058,0.0185783188971
2160.00000000,0.600000000000,2.55,2.55,1.37002138876,0.0185502225288
2220.00000000,0.616666666667,2.55,2.55,1.3629932807,0.0185227484153
2280.00000000,0.633333333333,2.55,2.55,1.35610742307,0.0184958432581
2340.00000000,0.650000000000,2.55,2.55,1.34941210906,0.018469453759
2400.00000000,0.666666666667,2.55,2.55,1.34291070407,0.0184435266197
2460.00000000,0.683333333333,2.55,2.55,1.33663504386,0.0184180085419
2520.00000000,0.700000000000,2.55,2.55,1.3305648288,0.0183928462273
2580.00000000,0.716666666667,2.55,2.55,1.32452880316,0.0183679863776
2640.00000000,0.733333333333,2.55,2.55,1.31875714419,0.0183433756944
2700.00000000,0.750000000000,2.55,2.55,1.31326471381,0.0183189608795
2760.00000000,0.766666666667,2.55,2.55,1.30784143101,0.0182946886346
2820.00000000,0.783333333333,2.55,2.55,1.30253073054,0.0182705056613
2880.00000000,0.800000000000,2.55,2.55,1.29753560767,0.0182463586613
2940.00000000,0.816666666667,2.55,2.55,1.29272540125,0.0182221943364
3000.00000000,0.833333333333,2.55,2.55,1.28801747236,0.0181979593883
3060.00000000,0.850000000000,2.55,2.55,1.28357494821,0.0181736005186
3120.00000000,0.866666666667,2.54999999999,2.54999999999,1.27952733739,0.018149064429
3180.00000000,0.883333333333,2.54999999999,2.54999999999,1.2758593616,0.0181242978212
3240.00000000,0.900000000000,2.54999999997,2.54999999997,1.27237397821,0.0180992473969
3300.00000000,0.916666666667,2.54999999995,2.54999999995,1.26913963985,0.0180738598579
3360.00000000,0.933333333333,2.54999999991,2.54999999991,1.26605255548,0.0180480819057
3420.00000000,0.950000000000,2.54999999983,2.54999999983,1.26318278208,0.0180218602421
3480.00000000,0.966666666667,2.54999999971,2.54999999971,1.26048467712,0.0179951415689
3540.00000000,0.983333333333,2.54999999951,2.54999999951,1.25798655946,0.0179678725876
3600.00000000,1.000000000000,2.54999999918,2.54999999918,1.25590360127,0.01794
3660.00000000,1.016666666667,2.54999999865,2.54999999865,1.25410295894,0.0179115922919
3720.00000000,1.033333333333,2.54999999782,2.54999999782,1.25240743594,0.0178827733682
3780.00000000,1.050000000000,2.54999999653,2.54999999653,1.25091086398,0.0178535730588
3840.00000000,1.066666666667,2.54999999457,2.54999999457,1.24948121416,0.0178240211939
3900.00000000,1.083333333333,2.54999999161,2.54999999161,1.24807245735,0.0177941476035
3960.00000000,1.100000000000,2.54999998722,2.54999998722,1.24673780628,0.0177639821176
4020.00000000,1.116666666667,2.5499999808,2.5499999808,1.2453796313,0.0177335545664
4080.00000000,1.133333333333,2.5499999715,2.5499999715,1.24395646695,0.01770289478
4140.00000000,1.150000000000,2.54999995822,2.54999995822,1.24267175904,0.0176720325882
4200.00000000,1.166666666667,2.54999993947,2.54999993947,1.24143665971,0.0176409978214
4260.00000000,1.183333333333,2.5499999133,2.5499999133,1.24020344457,0.0176098203094
4320.00000000,1.200000000000,2.54999987714,2.54999987714,1.23912899524,0.0175785298824
4380.00000000,1.216666666667,2.54999982773,2.54999982773,1.23793953521,0.0175471563704
4440.00000000,1.233333333333,2.54999976087,2.54999976087,1.23655528642,0.0175157296035
4500.00000000,1.250000000000,2.54999967126,2.54999967126,1.23520443949,0.0174842794118
4560.00000000,1.266666666667,2.54999955228,2.54999955228,1.23389001647,0.0174528356253
4620.00000000,1.283333333333,2.54999939571,2.54999939571,1.23259922736,0.0174214280741
4680.00000000,1.300000000000,2.54999919143,2.54999919143,1.231309167,0.0173900865882
4740.00000000,1.316666666667,2.54999892712,2.54999892712,1.22996457494,0.0173588409978
4800.00000000,1.333333333333,2.54999858786,2.54999858786,1.22851829998,0.0173277211329
4860.00000000,1.350000000000,2.54999815572,2.54999815572,1.22689211222,0.0172967568235
4920.00000000,1.366666666667,2.54999760933,2.54999760933,1.22526085341,0.0172659778998
4980.00000000,1.383333333333,2.54999692341,2.54999692341,1.22347158206,0.0172354141917
5040.00000000,1.400000000000,2.5499960682,2.5499960682,1.22142939336,0.0172050955294
